customer_id_legacy,transaction_id,purchase_amount,purchase_date,product_category,customer_rating,purchase_amount_aug,customer_id_new,social_media_platform,engagement_score,purchase_interest_score,review_sentiment,customer_engagement_score,rolling_avg_3,rolling_avg_5,total_purchases,average,fine,neutral,normal,okay
163,1022,220.0,2024-01-22,Groceries,2.7,0.3758754824289222,A101,Twitter,0.686868686868687,0.0,Neutral,0.35070557586821105,0.3758754824289222,0.3758754824289222,2,0.0,0.0,0.0,0.0,0.0
163,1044,495.0,2024-02-13,Sports,3.0,1.0,A101,Twitter,0.686868686868687,0.0,Neutral,0.5566666666666668,0.6879377412144612,0.6879377412144612,2,0.0,0.0,0.0,0.0,0.0
191,1034,94.0,2024-02-03,Electronics,3.0,0.09039923604270098,A102,LinkedIn,0.5151515151515152,0.95,Neutral,0.5228317478940914,0.09039923604270098,0.09039923604270098,8,0.0,0.0,0.0,0.0,0.0
191,1218,94.0,2024-02-03,Electronics,3.0,0.09039923604270098,A102,LinkedIn,0.5151515151515152,0.95,Neutral,0.5228317478940914,0.09039923604270098,0.09039923604270098,8,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579
106,1047,397.0,2024-02-16,Sports,1.7,0.7437321687577203,A102,LinkedIn,0.5151515151515152,0.95,Neutral,0.7384316156900477,0.30817688028104073,0.30817688028104073,8,0.0,0.0,0.0,0.0,0.0
191,1152,113.22291957964612,2024-02-24,Electronics,3.0,0.09039923604270098,A102,LinkedIn,0.5151515151515152,0.95,Neutral,0.5228317478940914,0.30817688028104073,0.2537324692214558,8,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579
191,1061,460.0,2024-03-01,Sports,4.6,0.9123942701612939,A102,LinkedIn,0.5151515151515152,0.95,Neutral,0.7940901091532271,0.5821752249872384,0.38546482940942345,8,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579
106,1196,365.7441214904564,2024-03-04,Sports,1.7,0.7437321687577203,A102,LinkedIn,0.5151515151515152,0.95,Neutral,0.7384316156900477,0.5821752249872384,0.5161314159524273,8,0.0,0.0,0.0,0.0,0.0
106,1126,250.0,2024-05-05,Clothing,3.5,0.4557361348810205,A102,LinkedIn,0.5151515151515152,0.95,Neutral,0.6433929245107368,0.7039541912666781,0.5891987957200912,8,0.0,0.0,0.0,0.0,0.0
106,1205,250.0,2024-05-05,Clothing,3.5,0.4557361348810205,A102,LinkedIn,0.5151515151515152,0.95,Neutral,0.6433929245107368,0.5517348128399204,0.5315995889447513,8,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579
